title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Falomo Ikoyi Lagos,4 Bedroom Luxury Apartment,"18,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Off Queens Drive Ikoyi Ikoyi Lagos,Luxury Finished 3bedroom With Bq,"16,000,000",3.0,3.0,4.0
3 BEDROOM PENTHOUSE FOR RENT,Agungi Agungi Lekki Lagos,3bedrooms Block Of Flats To Let.,"2,600,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Exquisite Waterfront 3 Bedroom Apartment + Bq+tennis Etc,"1,800,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Ikeja Gra Ikeja Ikeja Gra Ikeja Lagos,5 Bedrooms Duplex With B/q,"12,000,000",5.0,6.0,6.0
SHOP FOR RENT,Fola Osibo Lekki Phase 1 Lekki Phase 1 Lekki Lagos,15sqm Shop Space Available For Rent At Lekki Phase 1,"2,000,000",,,
4 BEDROOM TOWNHOUSE FOR RENT,Adeola Odeku Victoria Island Victoria Island Lagos,4 Bedroom Luxury House,"20,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Osapa Osapa Lekki Lagos,Luxury 4 Bedroom Semi Detached Duplex,"7,500,000",4.0,5.0,5.0
4 BEDROOM TERRACE FOR RENT,Orchid Lekki Phase 2 Lekki Lagos,Aesthetically Pleasing 4 Bedroom Terraced Duplex At Orchid With Communal Pool And Fully Equipped Gym.,"4,500,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Bourdillon Ikoyi Ikoyi Lagos,3 Bedroom Luxury Apartments,"16,500,000",3.0,3.0,4.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Falomo Ikoyi Ikoyi Lagos,Modern Luxury Apartment,"36,000,000",4.0,4.0,5.0
2 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,A Stylish Executive Two Bedroom Pent House In A Fully Serviced Building At Lekki Phase 1 For Rent,"3,500,000",2.0,2.0,2.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex,"13,000,000",4.0,4.0,5.0
LAND For Sale,Creek Haven Estate Victoria Garden City Lekki Lagos,"Serviced 606sqm ,717sqm& 817sqm 133sqm Residential Plot In A Beautiful Estate","2,200,000",,,
OFFICE FOR RENT,Adeniran Ogunsanya Surulere Surulere Lagos,Commercial Property For Rent,"40,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lekki Phase 1 Lekki Lagos,3 Bedroom Apartment With Solar Powered (5 Kva ) With 10 Batteries,130,3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Orchid Lekki Expressway Lekki Lagos,Luxury 5 Bedroom Fully Detached Duplex,"6,500,000",5.0,6.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Modern 3 Bedroom Apartment With Bq,"6,000,000",3.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq,"7,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Stella Maris School Life Camp Abuja Phase 3 Abuja,Exquisite 4 Bedrooms Semi Detached Duplex,"7,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ogudu Eleshin Ogudu Ketu Lagos,"Brand New 2 Bedroom Flat At Ogudu Eleshin, Off Ogudu Gra Road. Rent 1.7 Million","1,700,000",2.0,2.0,2.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Luxury 3 Bedroom Apartment,"15,000,000",3.0,4.0,4.0
4 BEDROOM DUPLEX FOR RENT,Idado Lekki Phase 1 Lekki Lagos,Modern 4 Bedroom Semi Detached Duplex,"6,500,000",4.0,5.0,5.0
4 BEDROOM MINI FLAT FOR RENT,Off Nza Street Independence Layout Enugu Area Enugu,Hot 3 Bedroom Flat With Kitchen Cabinet And Wardrobes,"1,200,000",4.0,4.0,3.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Banana Banana Island Ikoyi Lagos,Luxury Apartment For Rent,"28,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,Channels Tv Road Wisdom Estate Opic Lagos Extension Ogun,Newly Built 12 Flats Of 3bedrooms + Maid Room Serviced Apartments,"1,800,000",4.0,4.0,5.0
2 BEDROOM DUPLEX FOR RENT,Ologolo Ologolo Lekki Lagos,Well Built House,"2,000,000",2.0,2.0,3.0
1 BEDROOM SHOP FOR RENT,"Maruwa Off Lekki, Epe Expressway Lekki Expressway Lekki Lagos",Shop Upstairs Facing The Road At Maruwa,"3,200,000",1.0,1.0,1.0
COMMERCIAL PROPERTY FOR RENT,Off Ikorodu Road Palmgroove Shomolu Lagos,"Office Complex For Lease At Palmgroove, Lagos",0,0.0,0.0,0.0
3 BEDROOM OFFICE FOR RENT,Serki Aro Ikeja Ikeja Lagos,3 Bed Flat At Ikeja For Office Use. Rent 1.8 Million,"1,800,000",3.0,2.0,2.0
3 BEDROOM MINI FLAT FOR RENT,Rcc Estate Transekulu Enugu Area Enugu,Tastefully Built 3 Bedroom Flat All Insuit With Kitchen Cabinets And Wardrobe,"1,200,000",3.0,4.0,4.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,5 Bedroom Semi Detached Duplex,"10,000,000",5.0,5.0,6.0
2 BEDROOM MINI FLAT FOR RENT,Thinkers Corner Enugu Area Enugu,2 Bedroom Flat All Insuit With Kitchen Cabinet And Wardrobe,"900,000",2.0,3.0,3.0
SHOP FOR RENT,Victoria Island Victoria Island Lagos,120sqm Shop Space For Rent At Vi,"7,200,000",,,
4 BEDROOM DUPLEX FOR RENT,6th Avenue Gwarimpa Axis Gwarimpa Abuja Phase 3 Abuja,Beautiful 4 Bedrooms Duplex With Bq,"7,000,000",4.0,4.0,5.0
LAND For Sale,Promo On Adura Court Sangotedo Ajah Sangotedo Ajah Lagos,Don’t Miss This Discount On Adura Court Buy And Build Land At Ajah Lagos,"180,000,000",,,
4 BEDROOM TERRACE FOR RENT,Chevron Chevron Drive Lekki Lagos,Luxury 4 Bedroom Terrace Duplex,"3,800,000",4.0,5.0,5.0
6 BEDROOM DUPLEX FOR RENT,Golf Estate Enugu Area Enugu,6 Bedroom Duplex With 2 Rooms Bq (2yrs Rent),"3,500,000",6.0,7.0,7.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ologolo Ologolo Lekki Lagos,2 Bedroom Apartment,"3,200,000",2.0,3.0,3.0
4 BEDROOM TERRACE FOR RENT,Victoria Garden City Victoria Garden City Lekki Lagos,Modern 4 Bedroom Terrace Duplex,"4,000,000",4.0,5.0,5.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,Self Service 4 Bedroom Terrace Duplex,"6,500,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Agungi Agungi Lekki Lagos,Modern 2 Bedroom Apartment,"3,000,000",2.0,3.0,3.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Gerard Road Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Apartment,"20,000,000",3.0,4.0,
2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Ikate Elegushi Lekki Lagos,Luxury 2 Bedroom Apartment,"4,500,000",2.0,3.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki County Lekki Expressway Lekki Lagos,Modern 2 Bedroom Apartment,"3,000,000",2.0,3.0,3.0
FLAT & APARTMENT FOR RENT,At Carlton Estate Akobo Ibadan Ibadan Oyo,4bedroom Flat,"2,000,000",,,
4 BEDROOM DUPLEX FOR RENT,"Harris Drive, Vgc. Lekki Lagos",Brand New 4 Bedroom Detached Duplex With Bq,"5,000,000",4.0,5.0,5.0
3 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"1,800,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Off Orchid Road Lafiaji 2nd Tollgate Lekki Lafiaji Lekki Lagos,Self Serviced 4 Bedrooms Terrace Duplex Well Finished House,"4,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikeja Gra Ikeja Lagos,3 Bedroom Luxury Flat + Bq,"125,000,000/sqm",3.0,3.0,3.0
FLAT & APARTMENT FOR RENT,@ Iletuntun In A Cool Environment Very Neat With Necessary Facilities Ibadan Ibadan Oyo,A Spacious 3bedroom Flat Available,"400,000",,,
LAND FOR RENT,Adetokunbo Ademola Street Victoria Island Lagos,Profitable Joint Venture (jv) On Landed Property,"500,000,000",,,
3 BEDROOM DUPLEX FOR RENT,"Baptist Church Street Gbagada Gra Phase 2 Estate, Gbagada Lagos",Very Spacious 3 Bedrooms Up Flat All Room Ensuite,"2,500,000",3.0,3.0,4.0
FLAT & APARTMENT FOR RENT,At Ikolaba Gra Ibadan Ibadan Oyo,3 Bedroom Apartment,"800,000",0.0,0.0,0.0
SHOP FOR RENT,At Sango At The Front Of Ventura Ibadan Ibadan Oyo,Shop Space,"350,000",,,
5 BEDROOM DUPLEX FOR RENT,Secure Estate At Ikota Lekki Ikota Lekki Lagos,Self Serviced 5 Bedroom Fully Detached Duplex With Bq,"5,500,000",5.0,5.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Ayodele Odubiyi Street, Lekki Right. After U3 Estate Lekki Phase 1 Lekki Phase 1 Lekki Lagos",8 Units Of 3 Bedroom Flat With One Room Bq Each,"6,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE For Sale,"Off Adenike Olotun Street, Ikota Gra Ikota Lekki Lagos",Magnificent 4 Bedroom Terrace Duplex With Self Compound,"162,000,000",,,
FLAT & APARTMENT FOR RENT,At Ajila Gate Just 10 Minutes Driving From Akala Express Ibadan Ibadan Oyo,Newly Built 2bedroom Flat,"550,000",,,
8 BEDROOM DUPLEX FOR RENT,"Osborne Phase 1, Ikoyi Lagos",Fully Detached House Of 8 Bedrooms With Bq,"20,000,000",8.0,9.0,9.0
4 BEDROOM DUPLEX FOR RENT,Secure Estate At Ikota Estate Lekki Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex Well Finished House,"4,500,000",4.0,4.0,5.0
8 BEDROOM DUPLEX FOR RENT,Old Ikoyi Ikoyi Lagos,Exquisite 8 Bedrooms Fully Detached House,"50,000,000",8.0,9.0,9.0
FLAT & APARTMENT FOR RENT,At New Bodija Ibadan Ibadan Oyo,2bedroom,"1,000,000",,,
3 BEDROOM DUPLEX FOR RENT,"Medina Estate, Gbagada Lagos",Very Spacious 3 Bedrooms Up Flat All Ensuite,"2,500,000",3.0,3.0,4.0
1 BEDROOM OFFICE FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Privat Office/shared Cowork Space,"5,000/day",1.0,1.0,1.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Parkview Parkview Estate Ikoyi Lagos,Fully Furnished Apaprtment For Lease In Parkview,"12,000,000",3.0,4.0,
3 BEDROOM BLOCK OF FLATS FOR RENT,Magodo 2 Lovely 3bed Apartment Magodo Gra Phase 2 Kosofe Ikosi Lagos,Very Clean 3bed Ensuite Apartment,"3,500,000",3.0,4.0,4.0
4 BEDROOM TERRACE FOR RENT,Oniru Victoria Island Lagos,4 Bedroom Terrace For Rent,"6,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Lekki Luxury 3bedroom Apartments For Rent,"5,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"1,800,000",3.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Secure Estate At Orchid Road Lekki Lekki Expressway Lekki Lagos,Brand New 4 Bedroom Terrace Duplex Well Finished House For Rent,"4,000,000",4.0,4.0,5.0
LAND FOR RENT,Bewaji Gardens Estate Off Itokin Epe Road Epe Ajah Lagos,10% Discount Table Estate Land Very Close To The Road,"3,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Right Lekki Expressway Lekki Lagos,Modern 3 Bedroom Apartment,"4,500,000",3.0,3.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Off Banana Island Road Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Apartment,"13,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Lekki Phase 1 Lekki Lagos,Modern 3 Bedroom Apartment,"6,000,000",3.0,3.0,4.0
DUPLEX FOR RENT,"At Aerodrome Gra, Samonda. Ibadan Ibadan Oyo",Fully Detached 4 Bedroom Duplex,"6,000,000",,,
LAND FOR RENT,Shining Star Estate Achalla Town Awka Awka Anambra Area Anambra,"C Of O Estate Land In Prime Location Of Awka, Anambra State","3,000,000",,,
4 BEDROOM TERRACE FOR RENT,Banana Island Ikoyi Lagos,4 Bedroom Terrace,"15,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Olusoji, Oluyole Estate, Ibadan Ibadan Ibadan Oyo",3 Bedroom Flat,"700,000",3.0,3.0,2.0
3 BEDROOM TERRACE For Sale,"Off Adenike Olotun Street, Ikota Gra, Lekki, Lagos Ikota Lekki Lagos",Tastefully Furnished 3 Bedroom Terrace Duplex In A Shared Compound At Pentagon Court Phase 5,"260,000,000",6.0,6.0,7.0
2 BEDROOM FLAT & APARTMENT FOR RENT,At Olopomewa Eleyele Road Ibadan Ibadan Oyo,A Newly Gentrifieda Room And Palour Sef Con.,"450,000",2.0,2.0,2.0
OFFICE FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Tastefully Furnished Office Space,"200,000",0.0,0.0,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"@idi Ahun, Elebu Off Oluyole Extension Ib. Ibadan Ibadan Oyo",Newly Built 2units Of 2bedroomed Flat With All Modern Facilities,"400,000",2.0,2.0,2.0
5 BEDROOM COMMERCIAL PROPERTY FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Large 5 Bedroom Duplex 2 Living Room,"25,000,000",5.0,6.0,6.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,Beautiful 3 Bedroom Flat,"5,000,000",3.0,4.0,4.0
SHOP FOR RENT,At Bodija Ibadan Ibadan Oyo,To Let A Shop Facing Main Road,"150,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,"Ire Akari Estate, Akala Express Ibadan. Ibadan Ibadan Oyo",Beautifully Built 3 Bedroom Flat,"800,000",3.0,3.0,3.0
OFFICE FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Daily Subscription For Office Space,"5,000/day",,,2.0
5 BEDROOM DUPLEX FOR RENT,"Address: No.9 Ifiok Ojuolape Crescent, Osapa, Lekki. Osapa Lekki Lagos",5 Bedroom Detached Duplex,"7,000,000",5.0,5.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,3bed Located @adejumo Not Too Far From The Road . Ibadan Ibadan Oyo,3bedroom Flat,"250,000",3.0,,
FLAT & APARTMENT FOR RENT,"📍 Located Behind Oluseyi Community Secondary School, Eleyele, Ibadan Ibadan Ibadan Oyo",A Nice Built 3bedroom Duplex With All Modern Facilities.,"750,000",,,
4 BEDROOM TERRACE For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House +2 Rooms Bq+tennis Etc,"15,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Banana Island Ikoyi Lagos,4 Bedroom Terrace,"14,000,000",4.0,4.0,4.0
OFFICE FOR RENT,Adeola Odeku Victoria Island Victoria Island Lagos,Office Space,"8,000,000",,,
1 BEDROOM FLAT & APARTMENT FOR RENT,At Ikolaba Bodija Ibadan Ibadan Oyo,A Røom And A Parlor Self Contained,"550,000",1.0,1.0,1.0
5 BEDROOM DUPLEX FOR RENT,"Mojisola, Onikoyi Mojisola Onikoyi Estate Ikoyi Lagos",Brand New 5 Bedroom Detached House With 2 Bq,"25,000,000",5.0,6.0,6.0
2 BEDROOM FLAT & APARTMENT FOR RENT,At Kolapo Ishola Gra Akobo Ibadan Ibadan Oyo,2bedroom Flats,"1,000,000",2.0,2.0,2.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Ikate Ilasan Lekki Lagos,Beautiful 1 Bedroom Flat,"1,800,000",1.0,2.0,2.0
1 BEDROOM MINI FLAT FOR RENT,"Apata, Shomolu Shomolu Lagos",Tastefully Finished And Spacious Miniflat,"1,000,000",1.0,,2.0
1 BEDROOM MINI FLAT FOR RENT,Lekki Phase 1 Lekki Lagos,One Bedroom Flat,"3,000,000",1.0,1.0,1.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Ire Akari Estate, Akala Express Ibadan Ibadan Ibadan Oyo",3 Bedroom Flat,"850,000",3.0,3.0,3.0
OFFICE For Rent,42 Saka Tinubu Street Victoria Island Lagos,Tastefully Furnished Office Space,"240,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Victoria Island Lagos,Fully Serviced 4 Bedroom Terrace With Bq,"20,000,000",4.0,4.0,5.0
SHOP FOR RENT,Block 82 Fola Osibo/emma Abimbola Shop Lekki Phase 1 Lekki Lagos,Shop Ground Floor,"10,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,"Zionist, Akala Express, Ibadan Ibadan Ibadan Oyo",2 Bedroom Flat,"850,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Magodo Gra 2 Magodo Gra Phase 2 Kosofe Ikosi Lagos,"Standard, Decent 3bedroom Apartment","2,500,000",3.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Borno Street Banana Island Ikoyi Lagos,4 Bedroom Terrace,"16,000,000",4.0,4.0,4.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,Luxury 4bedroomflat With Bq,"17,000,000",4.0,5.0,5.0
4 BEDROOM DUPLEX FOR RENT,Magodo Gra 2 Luxury Duplex Magodo Gra Phase 2 Kosofe Ikosi Lagos,4 Bedroom Detached Duplex,"6,000,000",4.0,5.0,6.0
1 BEDROOM MINI FLAT FOR RENT,Ikate Ikate Elegushi Lekki Lagos,Exquisite Mini Flat,"3,000,000",1.0,1.0,2.0
3 BEDROOM DUPLEX FOR RENT,"Location: Oke Ibukun Icast ,elebu Akala Express Ibadan Ibadan Oyo",Newly Built 3 Bedroom Flat With Amenities,"750,000",3.0,3.0,3.0
SELF CONTAIN FOR RENT,"Agbowo, Few Minutes Walk To Ui Main Gate Ibadan Ibadan Oyo",A Standard And Executively Built 10 Units Room Selfcon,"220,000",,,
3 BEDROOM DUPLEX FOR RENT,"Atunrase Estate, Gbagada Lagos",Renovated 1 Units 3 Bedroom Up Flat,"3,000,000",3.0,3.0,4.0
OFFICE For Rent,42 Saka Tinubu Street Victoria Island Lagos,Tastefully Furnished Office Space,"22,000,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Urban Prime Estate Along Abraham Adesanya Road Ajah Abraham Adesanya Ajah Lagos,Fully Serviced 4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
1 BEDROOM SELF CONTAIN FOR RENT,Agbowo Ui Ibadan. Ibadan Ibadan Oyo,Big Room Self Contained,"230,000",1.0,1.0,1.0
3 BEDROOM DUPLEX FOR RENT,"Gbagada Phase 2 Estate, Gbagada Lagos",Furnished And Well Finished 3 Bedroom Terrace Duplex,"6,500,000",3.0,3.0,4.0
3 BEDROOM DUPLEX FOR RENT,"Harmony Estate Ifako, Gbagada Lagos","Renovated Spacious 3 Bedrooms Ground Flat All Room Ensuite , Tiled With Kitchen Cabinets Wardrobe, Prepaid Meter And Ample Parking","2,300,000",3.0,3.0,4.0
SELF CONTAIN FOR RENT,At Alaro Sango Ibadan Ibadan Oyo,New Renovation Self Contain,"200,000",0.0,0.0,0.0
1 BEDROOM OFFICE FOR RENT,Lekki Right Ikate Elegushi Lekki Lagos,Four Story Commercial Building With Penthouse For Lease,"120,000",1.0,,4.0
5 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Lovely 5 Bedroom Semi Detached House With Bq,"11,000,000",5.0,6.0,6.0
4 BEDROOM TERRACE FOR RENT,Old Ikoyi Ikoyi Lagos,Luxury 4 Bedroom Terraced House With Swimming Pool,"10,000,000",4.0,5.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,"Primewater Gardens 2, Ikate Lekki Lagos",Luxury 3 Bedroom House With Bq.,"4,500,000",3.0,3.0,4.0
LAND For Sale,Don’t Miss This Promo Epe Lagos,Buy 6 And Get 1plot Free At Sentosa City Epe,"55,000,000",4.0,5.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,At Olopomewa Eleyele Road Ibadan Ibadan Oyo,A Newly Gentrified Two 《2》bedroom Flat,"600,000",2.0,2.0,2.0
FLAT & APARTMENT FOR RENT,At Ajila Gate Just 10 Minutes Driving From Akala Express Ibadan Ibadan Oyo,Newly Built Room And Parlour,"450,000",,,
4 BEDROOM HOUSE FOR RENT,Bornu Street Banana Island Ikoyi Lagos,4 Bedroom Terrace,"18,000,000",4.0,4.0,5.0
3 BEDROOM DUPLEX FOR RENT,"Josodat Sholuyi, Gbagada Lagos",Renovated 3 Bedroom,"2,000,000",3.0,3.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Estate Banana Island Ikoyi Lagos,Tastefully Finished 3 Bedroom Apartment With Bq Well Finished House,"15,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,At Kolaoo Ishola Gra Ibadan Ibadan Oyo,🔥hot And Fresh🔥 5bedroom Detached,"2,500,000",5.0,5.0,5.0
OFFICE FOR RENT,Lekki Lagos,Tastefully Finished Office Space For Lease In Lekki Phase One,"70,000",,,3.0
DUPLEX FOR RENT,At Akoto Estate Elebu Tarred Road To The House Ibadan Ibadan Oyo,4bedrooms Duplex,"1,500,000",,,
3 BEDROOM DUPLEX FOR RENT,"Medina Estate, Gbagada Lagos",Decent 4 Bedrooms Ground Flat All Room Ensuite,"3,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ologolo Ologolo Lekki Lagos,2 Units Of Luxury 2 Bedroom Flat With Clean Water,"2,500,000",2.0,3.0,3.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Hopeville Estate Sangotedo Lagos,Luxury Room And Palour Self Contain Apartment,"1,100,000",1.0,2.0,2.0
COMMERCIAL PROPERTY For Rent,Agidinbgi Ikeja Lagos,Space/store/ Mini Warehouse,"400,000",,,2.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"No 8 Onitana Rd, Off Mobolaji Johnson Avenue, Ikoyi Lagos Ikoyi Lagos",Newly Built 3 Bedroom Apartment,"15,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Secure Estate At Chevron Drive Lekki Chevron Drive Lekki Lagos,Well Maintained And Partially Furnished 4 Semi Detached Duplex With Bq,"6,000,000",4.0,4.0,5.0
FLAT & APARTMENT FOR RENT,"At The Back Of George And Duke, Off Akala Express. Ibadan Ibadan Oyo","👆🏻to Let: 2bedroom Flat With All Modern Facilities, 3toilets, 2bathroom A","800,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Magodo Gra 2 Luxury Apartment Magodo Shangisha Ketu Lagos,Newly Renovated 2bed Apartment,"2,500,000",2.0,3.0,3.0
1 BEDROOM FLAT & APARTMENT FOR RENT,At Akala Way Akobo Ibadan Ibadan Oyo,🇳🇬🇺🇸🇬🇧to Let: Newly Renovated And Painted Room And Parlour Self Contained,"450,000",1.0,1.0,1.0
3 BEDROOM FLAT & APARTMENT FOR RENT,In Carlton Gate Estates Ibadan Ibadan Oyo,3bedroom Flats,"1,800,000",3.0,3.0,3.0
OFFICE FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Daily Subscription For A Professional Office Space,"5,000/day",,1.0,2.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Lagos,"A 10 Units Of Glendeur, 3 Bedroom Apartments, 4 Bedroom Penthouse","15,000,000",4.0,5.0,5.0
OFFICE FOR RENT,"Fortune Towers, Victoria Island Victoria Island Victoria Island Lagos",Open Plan Office Space,"50,000/sqm",,,
4 BEDROOM DUPLEX For Rent,Old Ikoyi Lagos,Luxury 4 Bedroom Semi Detached Terrace House+bq+pool,"1,500,000",,,
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,Modern 3 Bedroom Apartment For Rent In Ikoyi,"15,000,000",3.0,3.0,4.0
2 BEDROOM TERRACE FOR RENT,Osborne Phase 2 Ikoyi Ikoyi Lagos,5 Units Of 2 Bedroom Terrace With Bq,"4,500,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Off Drive, Ikoyi Lagos",Newly Built 3unit Of 3 Bedroom Apartment,"18,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,"Chevron, Lekki Chevron Drive Lekki Lagos",Fully Serviced 4 Bedrooms Terrace Duplex Well Finished House,"3,500,000",4.0,4.0,5.0
4 BEDROOM TERRACE FOR RENT,Secure Estate At Ajah Lekki Thomas Estate Ajah Lagos,Brand New 3 Bedrooms Terrace Duplex Well Finished House,"45,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Beautiful 2 Units Of 3 Bedroom Apartments,"10,000,000",2.0,3.0,3.0
3 BEDROOM DUPLEX FOR RENT,"R Jolad Hospitals New Garage Gbagada Phase 2 Extension, Gbagada Lagos",Spacious 3 Bedrooms Ground Flat All Room Ensuite,"3,000,000",3.0,3.0,4.0
EVENT HALL FOR RENT,Saka Tinubu Street Victoria Island Victoria Island Lagos,Coworking/shared Office,"300,000/sqm",,,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"@ Kasumu Estate Off Akala Xpress, Ibadan Oyo",Newly Built 2bedroom Flat With All Modern Facilities,"500,000",2.0,2.0,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Olodo Garage , Iwo Road , Ibadan. Ibadan Ibadan Oyo",🌟newly Built Two Bedrooms Flat 🏠with Modern Facilities,"500,000",2.0,2.0,2.0
1 BEDROOM SELF CONTAIN FOR RENT,At Sango Along Poly Road Ibadan Ibadan Oyo,Newly Built Room Self Contained,"400,000",1.0,1.0,1.0
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"400,000",,,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"@ Kasumu Estate Off Akala Xpress, Ibadan Ibadan Oyo",Newly Built 2bedroom Flat With All Modern Facilities,"500,000",2.0,2.0,2.0
5 BEDROOM DUPLEX FOR RENT,Osbone Phase 1 Ikoyi Lagos,Luxury 5 Bedrooms Detached House With Two Bq Rooms,"25,000,000",5.0,6.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Parkview Estate Ikoyi Lagos,Fully Furnished 3 Bedroom Flat,"10,000,000",3.0,3.0,4.0
